,ID,GenderTypeID,ParliamentaryName,PersonID,RegionID,ValidFromDate,ValidUntilDate,ElectionStatusID,ElectionReasonDateID,Notes
1,216,Female,"Elder, Dorothy-Grace",1762,Glasgow,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
2,197,Female,"Hyslop, Fiona",1773,Lothians,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
3,171,Female,"McLeod, Fiona",1775,West of Scotland,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
4,188,Female,"McGugan, Irene",1781,North East Scotland,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,BBC
5,172,Female,"Ullrich, Kay",1811,West of Scotland,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
6,135,Female,"Fabiani, Linda",1814,Central Scotland,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,"elected 06 may 1999\r\n\r\nStood at local elections in 1992, 1997, 1998 and 1999."
7,82,Female,"Macmillan, Maureen",1840,Highlands and Islands,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,elected 06 may 1999
8,217,Female,"Sturgeon, Nicola",1848,Glasgow,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,BBC
9,181,Female,"Robison, Shona",1870,North East Scotland,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
10,194,Female,"Marwick, Tricia",1876,Mid Scotland and Fife,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
11,208,Female,"Ewing, Dr Winnie",1878,Highlands and Islands,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
12,175,Male,"Ingram, Adam",1882,South of Scotland,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
13,34,Male,"Fergusson, Alex",1892,South of Scotland,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
14,224,Male,"Neil, Alex",1894,Central Scotland,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
15,215,Male,"Wilson, Andrew",1907,Central Scotland,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
16,38,Male,"Wallace, Ben",1916,North East Scotland,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
17,190,Male,"Adam, Brian",1926,North East Scotland,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
18,185,Male,"Muldoon, Bristow",1932,Mid Scotland and Fife,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
19,155,Male,"Ballance, Chris",1950,West of Scotland,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
20,45,Male,"Campbell, Colin",1956,North East Scotland,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
21,207,Male,"Gorrie, Donald",1985,Highlands and Islands,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
22,187,Male,"Brocklebank, Ted",2005,Mid Scotland and Fife,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
23,57,Male,"Douglas-Hamilton, Lord James",2056,Lothians,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
24,29,Male,"Young, John",2099,West of Scotland,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,Replaced by Derek Brownlee
25,44,Male,"Harding, Mr Keith",2105,Mid Scotland and Fife,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,elected 06 may 1999
26,131,Male,"Raffan, Mr Keith",2106,Mid Scotland and Fife,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,BBC
27,214,Male,"Gibson, Kenneth",2110,Glasgow,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
28,192,Male,"MacAskill, Kenny",2112,Lothians,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
29,157,Male,"Quinan, Mr Lloyd",2118,West of Scotland,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,elected 06 may 1999\r\n\r\nStood as candidate for Deputy Presiding Officer.\r\n\r\n\r\nLocal:\r\nMember of Glasgow council for 35 years\r\n\r\nWestminster:\r\nContested Rutherglen in 1966 and Cathcart in 1992
30,6,Female,"McIntosh, Mrs Lyndsay",2122,Central Scotland,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
31,222,Male,"Matheson, Michael",2133,Central Scotland,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
32,167,Male,"Russell, Michael",2135,South of Scotland,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
33,53,Male,"Johnston, Nick",2152,Mid Scotland and Fife,1999-05-06T00:00:00,2001-08-10T23:59:59,Not Current,4,elected 06 may 1999\r\n\r\nStood as candidate at the following elections:\r\n\r\nLocal:\r\nTroon South and West By-election 1987\r\nDistrict elections 1988 and 1992 (KCDC)\r\nKilwinning East (1980) and Irvine  Landward (1984) in Cunninghame District\r\n\r\nWestminster:\r\nGlasgow (Hillhead) 1983 (Conservative)\r\nAyr in Oct 1974 (Liberal)
34,79,Male,"Peacock, Peter",2167,Highlands and Islands,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,elected 06 may 1999\r\n\r\nStood as candidate at the following elections:\r\n\r\nLocal:\r\nSouth Ayrshire (1995 South Carrick Ward)
35,179,Male,"Lochhead, Richard",2180,North East Scotland,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,elected 06 may 1999\r\n\r\nLocal:\r\nMember of Annandale & Eskdale District Council for Lockerbie 1984-86.\r\nMember of Dumfries and Galloway Regional Council 1986-87.
36,120,Male,"Brown, Robert",2185,Glasgow,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,BBC
37,70,Male,"Harper, Robin",2188,Lothians,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
38,229,Male,"Sheridan, Tommy",2225,Glasgow,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,elected 06 may 1999
39,7,Male,"Aitken, Bill",2234,Glasgow,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,BBC
40,129,Male,"Steel, Sir David",2263,Lothians,1999-05-06T00:00:00,2003-03-31T23:59:59,Not Current,3,
41,173,Female,"Grahame, Christine",1756,South of Scotland,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,"elected 06 may 1999\r\n\r\nStood as candidate at the following elections:\r\n\r\nLocal:\r\nCunninghame DC West Kilbride 1980\r\n\r\nWestminster:\r\nCunninghame South 1985\r\nDunfermline West 1987\r\nAyr 1992, 97"
42,68,Female,"Scott, Eleanor",1771,Highlands and Islands,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,
43,1,Female,"MacDonald, Margo",1828,Lothians,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,
44,105,Female,"Glen, Marlyn",1831,North East Scotland,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,elected 06 may 1999\r\n\r\nResigned as Conservative 31/03/03 no known start date as Conservative Party member
45,74,Female,"Baird, Shiona",1869,North East Scotland,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,elected 06 may 1999\r\n\r\nLocal:\r\nElected to Stirling Council (Trossachs Ward) in 1995.
46,169,Male,"Morgan, Alasdair",1888,South of Scotland,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,BBC
47,48,Male,"Monteith, Mr Brian",1930,Mid Scotland and Fife,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,elected 06 may 1999
48,75,Male,"Brodie, Chic",1944,South of Scotland,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,Resignation from Conservative Party 8/11/2005
49,24,Male,"McLetchie, David",1962,South of Scotland,2003-05-01T00:00:00,2005-06-17T23:59:59,Not Current,4,
50,117,Male,"Petrie, Dave",1973,Central Scotland,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,elected 14 aug 2001\r\n\r\nElected following resignation of former member for Mid-Scotland and Fife (Nick Johnston). Origonal list position during May 1999 general election was 4.
51,42,Male,"Hamilton, Mr Duncan",1988,Mid Scotland and Fife,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,
52,204,Male,"Mather, Jim",2074,Highlands and Islands,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,
53,69,Male,"Ballard, Mark",2126,Lothians,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,elected 06 may 1999
54,73,Male,"Ruskell, Mark",2127,Mid Scotland and Fife,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,
55,18,Male,"Tosh, Murray",2148,West of Scotland,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,
56,30,Male,"Gallie, Phil",2172,South of Scotland,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,elected 06 may 1999\r\n\r\nWestminster:\r\nStood as candidate for Edinburgh Central 1979.
57,231,Female,"Kane, Rosie",2201,Glasgow,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,"elected 06 may 1999\r\n\r\nStood as candidate at the following elections:\r\n\r\nLocal:\r\nHamilton 1974\r\n79, 83\r\n1987, 92, 97 Edinburgh West"
58,123,Male,"Finnie, Ross",2202,West of Scotland,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,
59,233,Female,"Byrne, Ms Rosemary",2665,South of Scotland,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,elected 06 may 1999
60,227,Male,"Swinburne, John",2686,Central Scotland,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,"elected 06 may 1999\r\n\r\nStood as candidate at the following elections:\r\n\r\nLocal:\r\n\r\nDistrict Council Elections 1988\r\nWest Ferry Ward, May 1988, Dundee\r\n\r\nWestminster:\r\n\r\n1992 North East Fife\r\n1997 Inverness East, Nairn and Lochaber"
61,234,Female,"Curran, Frances",2767,West of Scotland,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,BBC
62,228,Female,"Leckie, Carolyn",2902,Central Scotland,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,
63,162,Male,"McFee, Mr Bruce",2947,West of Scotland,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,
64,232,Male,"Fox, Colin",3004,Lothians,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,elected 06 may 1999\r\n\r\nWestminster:\r\nStood as candidate for Western Isles 1997\r\n\r\nEurope:\r\nStood in 1999
65,4,Female,"Mitchell, Margaret",3061,Central Scotland,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,BBC
66,163,Male,"Martin, Campbell",3103,West of Scotland,2003-05-01T00:00:00,2007-04-02T23:59:59,Not Current,3,
67,130,Male,"Arbuckle, Mr Andrew",2247,Mid Scotland and Fife,2005-01-10T00:00:00,2007-04-02T23:59:59,Not Current,3,BBC
68,31,Male,"Brownlee, Derek",2596,South of Scotland,2005-06-17T00:00:00,2007-04-02T23:59:59,Not Current,3,BBC
69,182,Female,"Watt, Maureen",1841,North East Scotland,2006-04-18T00:00:00,2007-04-02T23:59:59,Not Current,3,
70,63,Male,"Mundell, David",1963,Highlands and Islands,2006-04-18T00:00:00,2007-04-02T23:59:59,Not Current,3,elected 06 may 1999\r\n\r\nFirst Green MSP\r\n\r\nStood as candidate at the following elections:\r\n\r\nLocal:\r\n\r\nTollcross (Ed District) 1986\r\nSt Giles (Ed District) 1990\r\n\r\nWestminster:\r\n\r\nEdinburgh Central 1992\r\nEdinburgh Pentland 1997\r\nPerth (By-election) 1996\r\n\r\nEuropean:\r\n\r\nLothian 1989\r\nLothian 1994\r\nN.E Scotland (By-election) 1998
71,209,Female,"White, Sandra",1865,Glasgow,2007-05-03T00:00:00,2011-03-22T23:59:59,Not Current,3,
72,213,Male,"Ahmad, Bashir",1915,Glasgow,2007-05-03T00:00:00,2009-02-06T23:59:59,Not Current,1,
73,161,Male,"Wilson, Bill",1921,West of Scotland,2007-05-03T00:00:00,2011-03-22T23:59:59,Not Current,3,
74,156,Male,"Reid, Mr George",2010,West of Scotland,2007-05-03T00:00:00,2011-03-22T23:59:59,Not Current,3,BBC
75,118,Male,"O'Donnell, Hugh",2030,Central Scotland,2007-05-03T00:00:00,2011-03-22T23:59:59,Not Current,3,
76,191,Male,"McKee, Ian",2049,Lothians,2007-05-03T00:00:00,2011-03-22T23:59:59,Not Current,3,
77,140,Male,"Wilson, John",2610,Central Scotland,2007-05-03T00:00:00,2011-03-22T23:59:59,Not Current,3,
78,205,Male,"Thompson, Dave",2674,Highlands and Islands,2007-05-03T00:00:00,2011-03-22T00:00:00,Not Current,3,
79,203,Male,"Gibson, Rob",2675,Highlands and Islands,2007-05-03T00:00:00,2011-03-22T23:59:59,Not Current,3,elected 06 may 1999
80,66,Male,"Harvie, Patrick",2892,Glasgow,2007-05-03T00:00:00,2011-03-22T23:59:59,Not Current,3,BBC
81,211,Male,"Kidd, Bill",3129,Glasgow,2007-05-03T00:00:00,2011-03-22T23:59:59,Not Current,3,
82,189,Male,"Don, Nigel",3743,North East Scotland,2007-05-03T00:00:00,2011-03-22T23:59:59,Not Current,3,elected 06 may 1999
83,196,Male,"Harvie, Christopher",3746,Mid Scotland and Fife,2007-05-03T00:00:00,2011-03-22T00:00:00,Not Current,3,BBC
84,201,Male,"Tymkewycz, Stefan",3749,Lothians,2007-05-03T00:00:00,2007-08-31T23:59:59,Not Current,4,
85,138,Male,"Hepburn, Jamie",3758,Central Scotland,2007-05-03T00:00:00,2011-03-22T23:59:59,Not Current,3,
86,139,Female,"McKelvie, Christina",3759,Central Scotland,2007-05-03T00:00:00,2011-03-22T23:59:59,Not Current,3,
87,178,Female,"Campbell, Aileen",3775,South of Scotland,2007-05-03T00:00:00,2011-03-22T23:59:59,Not Current,3,
88,78,Male,"Stewart, David",3806,Highlands and Islands,2007-05-03T00:00:00,2011-03-22T23:59:59,Not Current,3,
89,113,Male,"Foulkes, George",3811,Lothians,2007-05-03T00:00:00,2011-03-22T23:59:59,Not Current,3,
90,202,Female,"Somerville, Shirley-Anne",3750,Lothians,2007-08-31T00:00:00,2011-03-22T23:59:59,Not Current,3,
91,210,Female,"McLaughlin, Anne",2963,Glasgow,2009-02-09T00:00:00,2011-03-22T00:00:00,Not Current,3,
92,10,Female,"Goldie, Annabel",1741,West Scotland,2011-05-05T00:00:00,2016-03-23T23:59:59,Not Current,3,
93,154,Female,"Ewing, Annabelle",1742,Mid Scotland and Fife,2011-05-05T00:00:00,2016-03-23T23:59:59,Not Current,3,
94,91,Female,"Beamish, Claudia",1759,South Scotland,2011-05-05T00:00:00,2016-03-23T23:59:59,Not Current,3,
95,151,Female,"Urquhart, Jean",1793,Highlands and Islands,2011-05-05T00:00:00,2016-03-23T23:59:59,Not Current,3,
96,21,Female,"Scanlon, Mary",1839,Highlands and Islands,2011-05-05T00:00:00,2016-03-23T23:59:59,Not Current,3,
97,17,Female,"Milne, Nanette",1845,North East Scotland,2011-05-05T00:00:00,2016-03-23T23:59:59,Not Current,3,
98,104,Female,"Grant, Rhoda",1860,Highlands and Islands,2011-05-05T00:00:00,2016-03-23T23:59:59,Not Current,3,
99,93,Female,"Boyack, Sarah",1866,Lothian,2011-05-05T00:00:00,2016-03-23T23:59:59,Not Current,3,
100,16,Male,"Johnstone, Alex",1893,North East Scotland,2011-05-05T00:00:00,2016-03-23T23:59:59,Not Current,3,
101,145,Male,"Crawford, Bruce",1943,South Scotland,2011-05-05T00:00:00,2016-03-23T23:59:59,Not Current,3,
102,23,Male,"Davidson, Mr David",1961,Lothian,2011-05-05T00:00:00,2013-08-12T00:00:00,Not Current,1,
103,22,Male,"McGrigor, Jamie",2066,Highlands and Islands,2011-05-05T00:00:00,2016-03-23T23:59:59,Not Current,3,
104,90,Male,"Macdonald, Lewis",2117,North East Scotland,2011-05-05T00:00:00,2016-03-23T23:59:59,Not Current,3,
105,87,Male,"Simpson, Dr Richard",2182,Mid Scotland and Fife,2011-05-05T00:00:00,2016-03-23T23:59:59,Not Current,3,BBC
106,15,Male,"Fraser, Murdo",2394,Mid Scotland and Fife,2011-05-05T00:00:00,2016-03-23T23:59:59,Not Current,3,
